product_id,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,total_quantity_sold,total_revenue,estimated_profit,average_selling_price,discount_rate,mean_monthly_demand,std_monthly_demand,demand_cv,active_months,sales_frequency_score,abc_class,xyz_class,priority_score,priority_level,kmeans_cluster,cluster_priority_rank,recommended_action
361361,Biscuits,Snacks & Munchies,"Kunda, Dave and Sahni",826.21,1271.09,35.0,90,41,33874.61,11856.113500000001,826.21,0.3499988199104705,1.9523809523809523,2.108937895628756,1.0801877026391191,14,0.6666666666666666,A,Y,0.8214663427423246,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
602241,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,38,37108.899999999994,12988.114999999998,976.5500000000001,0.34999800316830637,1.8095238095238095,2.0400746951777924,1.1274096999666747,13,0.6190476190476191,A,Y,0.8200655846618032,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
382511,Butter,Dairy & Breakfast,Bora-Thakkar,702.54,878.17,20.0,7,48,33721.92,6744.383999999999,702.54,0.19999544507327738,2.2857142857142856,1.978455385973036,0.8655742313632033,17,0.8095238095238095,A,X,0.8186628920769994,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
60619,Iced Tea,Cold Drinks & Juices,Bhasin LLC,726.41,1037.73,30.0,180,51,37046.909999999996,11114.072999999999,726.41,0.3000009636417951,2.4285714285714284,2.3784749015162756,0.9793720182714076,14,0.6666666666666666,A,X,0.8180294425990203,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
324809,Bread,Dairy & Breakfast,Sidhu PLC,608.0,760.0,20.0,7,50,30400.0,6080.0,608.0,0.2,2.380952380952381,2.085094493690645,0.8757396873500709,15,0.7142857142857143,A,X,0.8109449043009354,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
654623,Chips,Snacks & Munchies,Pradhan and Sons,422.14,649.45,35.0,90,55,23217.7,8126.195,422.14,0.3500038494110402,2.619047619047619,3.057387618150346,1.1673661814755867,14,0.6666666666666666,A,Y,0.804073221079308,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
306177,Frozen Biryani,Instant & Frozen Food,Som Inc,769.24,1282.07,40.0,180,44,33846.560000000005,13538.624000000002,769.24,0.4000015599772243,2.0952380952380953,2.7185430271518958,1.2974864447770411,13,0.6190476190476191,A,Z,0.8037093761214932,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
112390,Toothpaste,Personal Care,"Kibe, Contractor and Randhawa",877.98,1350.74,35.0,365,50,43899.0,15364.65,877.98,0.3500007403349275,2.380952380952381,2.376471974928181,0.998118229469836,15,0.7142857142857143,A,X,0.7990599977196398,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
707935,Cat Food,Pet Care,"Anne, Mammen and Khatri",820.9,1262.92,35.0,365,49,40224.1,14078.435,820.9,0.3499984163684161,2.3333333333333335,2.105548226313834,0.9023778112773574,14,0.6666666666666666,A,X,0.7949210581876702,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
954722,Ice Cream,Instant & Frozen Food,Mohan-Virk,616.45,1027.42,40.0,180,43,26507.350000000002,10602.94,616.45,0.4000019466235814,2.0476190476190474,2.1325147238926734,1.0414606791103755,12,0.5714285714285714,A,X,0.7946209061523481,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
146840,Bread,Dairy & Breakfast,"Bains, Deol and Vaidya",786.85,983.56,20.0,7,43,33834.55,6766.91,786.85,0.1999979665704176,2.0476190476190474,2.155833724483186,1.0528490282359748,13,0.6190476190476191,A,X,0.7939785746606753,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
153019,Onions,Fruits & Vegetables,Aurora LLC,947.95,1263.93,25.0,3,41,38865.950000000004,9716.487500000001,947.9499999999999,0.24999802204235994,1.9523809523809523,2.906478805637338,1.4886842663020512,11,0.5238095238095238,A,Z,0.793178778776261,Critical,2,1,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
832348,Biscuits,Snacks & Munchies,Jani-Ram,831.43,1279.12,35.0,90,35,29100.05,10185.0175,831.43,0.3499984364250422,1.6666666666666667,1.879716290649558,1.1278297743897348,12,0.5714285714285714,A,Y,0.7859920793503372,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
723678,Dog Food,Pet Care,"Lall, Datta and Swamy",675.46,1039.17,35.0,365,52,35123.92,12293.372,675.46,0.35000048115322807,2.4761904761904763,2.4003967925959167,0.9693910123945048,15,0.7142857142857143,A,X,0.7814063174593557,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
739534,Toilet Cleaner,Household Care,"Gera, Narang and Karpe",994.56,1326.08,25.0,365,49,48733.439999999995,12183.359999999997,994.56,0.25,2.3333333333333335,2.0330600909302543,0.8713114675415375,16,0.7619047619047619,A,X,0.7813888994530898,Critical,0,3,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
337168,Eggs,Dairy & Breakfast,Dasgupta PLC,545.49,681.86,20.0,7,45,24547.05,4909.41,545.49,0.19999706684656673,2.142857142857143,1.8516401995451033,0.8640987597877149,15,0.7142857142857143,A,X,0.7785312728572287,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
136533,Eggs,Dairy & Breakfast,"Raghavan, Magar and Shanker",826.21,1032.76,20.0,7,38,31395.980000000003,6279.196000000001,826.21,0.19999806344165144,1.8095238095238095,1.8060744065250363,0.9980937509743621,15,0.7142857142857143,A,X,0.7778192237024162,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
432617,Baby Wipes,Baby Care,Dora-Pillai,863.18,1233.11,30.0,365,48,41432.64,12429.792,863.18,0.2999975671270203,2.2857142857142856,2.1246848505803664,0.9295496221289103,15,0.7142857142857143,A,X,0.7765086308143642,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
14145,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",630.84,841.12,25.0,3,40,25233.6,6308.4,630.84,0.24999999999999997,1.9047619047619047,2.0713464679952,1.0874568956974802,15,0.7142857142857143,A,Y,0.7748660602357546,Critical,2,1,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
690565,Cookies,Snacks & Munchies,"Roy, Seth and Patla",951.27,1463.49,35.0,90,29,27586.829999999998,9655.3905,951.27,0.3499989750527848,1.380952380952381,1.3955712262794213,1.010586060409236,12,0.5714285714285714,A,X,0.7705057252898506,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
871592,Carrots,Fruits & Vegetables,"Shankar, Nadkarni and Kumer",870.29,1160.39,25.0,3,35,30460.149999999998,7615.0375,870.29,0.2500021544480736,1.6666666666666667,2.175622516277429,1.3053735097664574,11,0.5238095238095238,A,Z,0.7652729336541327,Critical,2,1,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
557908,Vitamins,Pharmacy,Sundaram Inc,942.37,1177.96,20.0,365,55,51830.350000000006,10366.070000000002,942.37,0.19999830214947878,2.619047619047619,2.801360213828105,1.06961026346164,13,0.6190476190476191,A,Y,0.7638234545345377,Critical,0,3,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
264803,Vitamins,Pharmacy,Gole-Doshi,995.98,1244.97,20.0,365,52,51790.96,10358.192,995.98,0.1999967870711744,2.4761904761904763,2.482318424760362,1.0024747484609153,16,0.7619047619047619,A,X,0.7631637119410427,Critical,0,3,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
398340,Instant Noodles,Instant & Frozen Food,"Nadig, Zachariah and Soni",651.93,1086.55,40.0,180,38,24773.34,9909.336,651.93,0.4,1.8095238095238095,2.1821789023599236,1.2059409723568,12,0.5714285714285714,A,Y,0.7627662087433077,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
63769,Lotion,Personal Care,Dalal-Shan,878.07,1350.88,35.0,365,41,36000.87,12600.304500000002,878.07,0.3500014805164041,1.9523809523809523,1.8296499795368097,0.9371377943969026,13,0.6190476190476191,A,X,0.7627160818602945,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
726958,Cat Food,Pet Care,Doctor-Patla,887.48,1365.35,35.0,365,43,38161.64,13356.573999999999,887.4799999999999,0.3499981689676639,2.0476190476190474,2.2243244025139512,1.0862979640184414,12,0.5714285714285714,A,Y,0.7624702680435789,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
970529,Diapers,Baby Care,"Kurian, Patla and Sanghvi",827.44,1182.06,30.0,365,45,37234.8,11170.44,827.44,0.3000016919614909,2.142857142857143,1.9048809486609468,0.8889444427084419,15,0.7142857142857143,A,X,0.7617406110082354,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
799952,Cheese,Dairy & Breakfast,Padmanabhan-Virk,922.64,1153.3,20.0,7,35,32292.4,6458.48,922.64,0.19999999999999998,1.6666666666666667,1.932183566158592,1.159310139695155,12,0.5714285714285714,A,Y,0.7605470687406617,Critical,2,1,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
107548,Cola,Cold Drinks & Juices,"Bhandari, Bhasin and Palan",891.6,1273.71,30.0,180,35,31206.0,9361.8,891.6,0.2999976446757896,1.6666666666666667,1.7126976771553504,1.0276186062932102,14,0.6666666666666666,A,X,0.7586264271344988,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
661577,Cat Food,Pet Care,Majumdar PLC,720.95,1109.15,35.0,365,45,32442.750000000004,11354.962500000001,720.9500000000002,0.34999774602172834,2.142857142857143,2.104417123236605,0.9820613241770825,14,0.6666666666666666,A,X,0.7575507719355624,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
222892,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,869.22,1158.96,25.0,3,39,33899.58,8474.895,869.22,0.25,1.8571428571428572,3.1825416617181035,1.713676279386671,11,0.5238095238095238,A,Z,0.7567619127299858,Critical,2,1,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
679321,Cola,Cold Drinks & Juices,Khurana-Dewan,738.46,1054.94,30.0,180,43,31753.780000000002,9526.134,738.46,0.29999810415758243,2.0476190476190474,2.801360213828105,1.368106150939307,11,0.5238095238095238,A,Z,0.7553967713383319,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
992178,Pain Reliever,Pharmacy,Basu and Sons,632.43,790.54,20.0,365,60,37945.799999999996,7589.159999999999,632.43,0.2000025299162598,2.857142857142857,2.4553149347021512,0.8593602271457529,17,0.8095238095238095,A,X,0.7551451250930582,Critical,0,3,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
256783,Pet Treats,Pet Care,"Basu, Thakur and Rege",906.54,1394.68,35.0,365,46,41700.84,14595.294,906.5399999999998,0.3500014340207073,2.1904761904761907,3.1083604620289393,1.419034123969733,13,0.6190476190476191,A,Z,0.7536642559551965,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
131937,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.81,479.68,40.0,180,54,15541.740000000002,6216.696000000001,287.81,0.39999583055370247,2.5714285714285716,2.9423023055326687,1.1442286743738155,13,0.6190476190476191,A,Y,0.7528554879961467,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
18035,Dish Soap,Household Care,Ramesh Inc,968.94,1291.92,25.0,365,48,46509.12,11627.28,968.9400000000002,0.25,2.2857142857142856,2.648449681282564,1.1586967355611217,12,0.5714285714285714,A,Y,0.7527840419062272,Critical,0,3,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
847349,Potatoes,Fruits & Vegetables,Chhabra-Agrawal,781.08,1041.44,25.0,3,33,25775.64,6443.91,781.08,0.25,1.5714285714285714,1.8322507626258084,1.1659777580346053,11,0.5238095238095238,A,Y,0.7521318294015847,Critical,2,1,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
555121,Carrots,Fruits & Vegetables,"Subramanian, Chaudhuri and Dora",354.91,473.21,25.0,3,45,15970.95,3992.7375,354.91,0.24999471693328534,2.142857142857143,1.9309509130403675,0.9011104260855048,15,0.7142857142857143,A,X,0.7519163634243018,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
171602,Cola,Cold Drinks & Juices,Pal-Sehgal,883.44,1262.06,30.0,180,35,30920.4,9276.12,883.44,0.300001584710711,1.6666666666666667,1.8529256146249726,1.1117553687749835,12,0.5714285714285714,A,Y,0.7513325305218514,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
853932,Baby Wipes,Baby Care,Ranganathan-Peri,941.19,1344.56,30.0,365,41,38588.79,11576.636999999999,941.19,0.3000014874754566,1.9523809523809523,1.961534870355112,1.0046885921331061,13,0.6190476190476191,A,X,0.7475718245821746,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
455083,Butter,Dairy & Breakfast,Dutta Inc,959.01,1198.76,20.0,7,30,28770.3,5754.06,959.01,0.19999833160932964,1.4285714285714286,1.3989792196965818,0.9792854537876072,12,0.5714285714285714,A,X,0.7465113786936235,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
762527,Biscuits,Snacks & Munchies,"Chad, Yohannan and Chopra",690.08,1061.66,35.0,90,31,21392.480000000003,7487.368000000001,690.08,0.34999905807885767,1.4761904761904763,1.569045812557671,1.0629020020551965,13,0.6190476190476191,A,X,0.7460997849863804,Critical,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
673058,Cough Syrup,Pharmacy,Balan-Madan,765.76,957.2,20.0,365,56,42882.56,8576.511999999999,765.76,0.20000000000000004,2.6666666666666665,2.851899951494325,1.069462481810372,14,0.6666666666666666,A,Y,0.7454711397553936,Critical,0,3,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
604184,Toilet Cleaner,Household Care,"Gaba, Sodhi and Choudhary",397.55,530.07,25.0,365,62,24648.100000000002,6162.025,397.55,0.2500047163582169,2.9523809523809526,2.060975266134712,0.6980722675617572,17,0.8095238095238095,A,X,0.7454258833439925,Critical,0,3,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
444361,Pain Reliever,Pharmacy,"Prakash, Bawa and Kale",822.63,1028.29,20.0,365,50,41131.5,8226.3,822.63,0.20000194497661164,2.380952380952381,2.0609752661347125,0.8656096117765792,14,0.6666666666666666,A,X,0.7449864041931947,Critical,0,3,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
942001,Cat Food,Pet Care,Acharya Ltd,671.55,1033.15,35.0,365,47,31562.85,11046.9975,671.55,0.3499975802158449,2.238095238095238,2.6439508676365735,1.1813397493695328,12,0.5714285714285714,A,Y,0.744008987148068,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
183929,Bread,Dairy & Breakfast,"Nagi, Sampath and Khurana",738.74,923.42,20.0,7,33,24378.420000000002,4875.684,738.74,0.19999566827662382,1.5714285714285714,1.4342743312012722,0.9127200289462641,13,0.6190476190476191,A,X,0.7433046136437458,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
812607,Potatoes,Fruits & Vegetables,Rege Group,416.65,555.53,25.0,3,41,17082.649999999998,4270.662499999999,416.65,0.2499954997929905,1.9523809523809523,1.9358768162305802,0.9915466619717606,13,0.6190476190476191,A,X,0.74300696195621,Critical,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
194682,Iced Tea,Cold Drinks & Juices,Sastry-Issac,912.29,1303.27,30.0,180,37,33754.729999999996,10126.419,912.29,0.2999992326992872,1.7619047619047619,2.527939119218695,1.4347762568538538,13,0.6190476190476191,A,Z,0.7419373616505642,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
328457,Mango Drink,Cold Drinks & Juices,Hayre-Shere,858.57,1226.53,30.0,180,34,29191.38,8757.414,858.57,0.3000008153082272,1.619047619047619,1.8296499795368095,1.1300779285374412,11,0.5238095238095238,A,Y,0.7409586353320813,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
949818,Biscuits,Snacks & Munchies,Yohannan Inc,483.05,743.15,35.0,90,37,17872.850000000002,6255.497500000001,483.05,0.3499966359415999,1.7619047619047619,1.972429007715155,1.1194867341086014,11,0.5238095238095238,A,Y,0.7402567525975388,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
969851,Frozen Vegetables,Instant & Frozen Food,"Kara, Sodhi and Bassi",340.66,567.77,40.0,180,43,14648.380000000001,5859.352000000001,340.66,0.4000035225531465,2.0476190476190474,1.9358768162305802,0.9454282125777252,14,0.6666666666666666,B,X,0.7387087452247504,Critical,1,2,"Growth candidate: sản phẩm có lợi nhuận tốt, có thể cân nhắc thúc đẩy bán hàng."
487065,Chips,Snacks & Munchies,Kadakia-Yadav,374.68,576.43,35.0,90,41,15361.88,5376.657999999999,374.68,0.34999913259198856,1.9523809523809523,2.085094493690645,1.0679752284756963,13,0.6190476190476191,B,Y,0.7382235282839062,Critical,1,2,"Growth candidate: sản phẩm có lợi nhuận tốt, có thể cân nhắc thúc đẩy bán hàng."
552883,Potatoes,Fruits & Vegetables,"Balan, Patel and Mall",888.16,1184.21,25.0,3,29,25756.64,6439.16,888.16,0.24999788888795066,1.380952380952381,1.6575943555704598,1.2003269471372295,10,0.47619047619047616,A,Y,0.7367039418953663,Critical,2,1,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
41853,Curd,Dairy & Breakfast,Handa PLC,910.44,1138.05,20.0,7,32,29134.08,5826.816000000001,910.44,0.19999999999999993,1.5238095238095237,1.9395630337539334,1.2728382409010188,9,0.42857142857142855,A,Z,0.7321936224254704,Critical,2,1,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
291238,Chocolates,Snacks & Munchies,"Sinha, Pau and Chhabra",746.03,1147.74,35.0,90,32,23872.96,8355.536,746.03,0.35000087127746704,1.5238095238095237,2.204972734957229,1.4470133573156816,12,0.5714285714285714,A,Z,0.7320836254832743,Critical,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
435929,Toilet Cleaner,Household Care,Memon Ltd,856.89,1142.52,25.0,365,43,36846.27,9211.5675,856.89,0.25,2.0476190476190474,1.9615348703551123,0.9579588901734271,14,0.6666666666666666,A,X,0.732082689362341,High,0,3,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
803607,Soap,Personal Care,"Kadakia, Mohan and Sathe",949.73,1461.12,35.0,365,36,34190.28,11966.598,949.73,0.34999863118703456,1.7142857142857142,1.9530196400153568,1.139261456675625,12,0.5714285714285714,A,Y,0.7291193465566564,High,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
537274,Pet Treats,Pet Care,Lal-Chauhan,702.71,1081.09,35.0,365,42,29513.82,10329.837,702.71,0.3499986125114467,2.0,2.280350850198276,1.140175425099138,13,0.6190476190476191,A,Y,0.7287310457595778,High,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
561860,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,32,27992.96,8397.887999999999,874.78,0.3000024005953477,1.5238095238095237,1.7781745588959377,1.166927054275459,13,0.6190476190476191,A,Y,0.7277273824545832,High,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
951463,Pet Treats,Pet Care,Balakrishnan-Kaur,787.4,1211.38,35.0,365,37,29133.8,10196.83,787.4,0.34999752348561153,1.7619047619047619,1.7579750255553093,0.9977696090989593,13,0.6190476190476191,A,X,0.7254278081057682,High,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
491521,Nuts,Snacks & Munchies,Karpe Inc,556.35,855.92,35.0,90,29,16134.150000000001,5646.9525,556.35,0.34999766333302174,1.380952380952381,1.2031704150364768,0.8712613350264142,15,0.7142857142857143,A,X,0.723876720181776,High,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
319388,Orange Juice,Cold Drinks & Juices,D’Alia-Dey,657.8,939.71,30.0,180,37,24338.6,7301.58,657.8,0.2999968075257261,1.7619047619047619,2.142539659020619,1.2160360226873785,10,0.47619047619047616,A,Y,0.7235483139251433,High,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
186168,Dog Food,Pet Care,"Parekh, Lad and Kadakia",878.8,1352.0,35.0,365,37,32515.6,11380.46,878.8,0.35000000000000003,1.7619047619047619,2.119074371152695,1.2027178863299082,13,0.6190476190476191,A,Y,0.7217323431017675,High,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
552496,Dish Soap,Household Care,Dhar PLC,508.0,677.33,25.0,365,51,25908.0,6477.0,508.0,0.24999630903695397,2.4285714285714284,2.0142350550873793,0.8293909050359798,16,0.7619047619047619,A,X,0.7212947432281596,High,0,3,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
123983,Cough Syrup,Pharmacy,Kurian-Chhabra,785.67,982.09,20.0,365,55,43211.85,8642.37,785.67,0.20000203647323572,2.619047619047619,3.6121488130500725,1.3791840922554823,14,0.6666666666666666,A,Z,0.7212313247013614,High,0,3,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
613942,Pet Treats,Pet Care,"Dyal, Saraf and Goel",545.0,838.46,35.0,365,43,23435.0,8202.25,545.0,0.3499988073372612,2.0476190476190474,1.9868616075658232,0.9703277618344719,15,0.7142857142857143,A,X,0.7192804892594209,High,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
833557,Cereal,Dairy & Breakfast,"Gole, Chand and Dada",422.87,528.59,20.0,7,40,16914.8,3382.96,422.87,0.20000378365084473,1.9047619047619047,1.8948551898433268,0.9947989746677466,13,0.6190476190476191,A,X,0.7173483656822399,High,2,1,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
425341,Pet Treats,Pet Care,"Mani, Dhar and Muni",486.28,748.12,35.0,365,49,23827.719999999998,8339.702,486.28,0.34999732663209115,2.3333333333333335,2.7988092706244436,1.1994896874104757,13,0.6190476190476191,A,Y,0.7168917095724118,High,1,2,High-value volatile product: duy trì nhưng cần theo dõi biến động nhu cầu.
542300,Popcorn,Snacks & Munchies,Gulati-Tandon,255.35,392.85,35.0,90,48,12256.8,4289.88,255.35,0.3500063637520683,2.2857142857142856,2.84855853271189,1.246244358061452,11,0.5238095238095238,B,Z,0.7165406974155726,High,1,2,"Growth candidate: sản phẩm có lợi nhuận tốt, có thể cân nhắc thúc đẩy bán hàng."
642612,Pet Treats,Pet Care,Pillay-Ahuja,517.03,795.43,35.0,365,43,22232.289999999997,7781.301499999999,517.03,0.3499993714091749,2.0476190476190474,1.9098740920854045,0.9327292077626395,14,0.6666666666666666,A,X,0.7164955921801417,High,1,2,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
679284,Cough Syrup,Pharmacy,Pant LLC,877.89,1097.36,20.0,365,42,36871.38,7374.276,877.89,0.19999817744404746,2.0,1.7320508075688772,0.8660254037844386,14,0.6666666666666666,A,X,0.7159086345201165,High,0,3,Core product: ưu tiên duy trì và đảm bảo luôn có trong danh mục.
